ligne;id;nomenclature;pattern;type;ancien_code;nouveau_code
27;42991;GAZ;7;trois_lettres;3134;NC
68;78416;TRI;7;trois_lettres;4412;NC
1863;78095;T.A.M;4;lettre_point_lettre_point_lettre;8341;NC
2253;44882;EPS;7;trois_lettres;7513;NC
4422;81989;MS;1;deux_lettres;3522;NC
4644;250;AAC;7;trois_lettres;3313;NC
5248;61562;PL;1;deux_lettres;3313;NC
5364;273;ACC;7;trois_lettres;3213;NC
5959;82797;TS;1;deux_lettres;3123;NC
9235;41091;EXA;7;trois_lettres;9629;NC
9470;50129;M.O;2;lettre_point_lettre;9629;NC
9471;50130;M.O;2;lettre_point_lettre;9629;NC
9537;81815;M.O;2;lettre_point_lettre;9629;NC
9576;50252;M.O.O;4;lettre_point_lettre_point_lettre;9629;NC
9697;54761;MO;1;deux_lettres;9629;NC
10828;57968;OS;1;deux_lettres;9629;NC
12324;54896;MLE;7;trois_lettres;9621;NC
12328;55744;OCC;7;trois_lettres;9621;NC
12562;114;EME;7;trois_lettres;9412;NC
12807;40032;ELS;7;trois_lettres;9334;NC
13472;69907;SEA;7;trois_lettres;9211;NC
13587;80577;BOY;7;trois_lettres;9121;NC
14970;7099;AGS;7;trois_lettres;8322;NC
16353;59805;PC;1;deux_lettres;8322;NC
16354;59908;PCG;7;trois_lettres;8322;NC
16420;79753;VOD;7;trois_lettres;8322;NC
16421;79754;VTC;7;trois_lettres;8322;NC
16981;20042;CE;1;deux_lettres;7543;NC
17162;62492;PVH;7;trois_lettres;7543;NC
17776;12251;ASR;7;trois_lettres;7421;NC
19803;24440;CC;1;deux_lettres;7112;NC
19896;9857;API;7;trois_lettres;6123;NC
20121;1306;AGE;7;trois_lettres;5414;NC
20350;11328;APR;7;trois_lettres;5414;NC
20400;35573;D.A.T;4;lettre_point_lettre_point_lettre;5414;NC
20401;37229;DEC;7;trois_lettres;5414;NC
20669;54926;MOT;7;trois_lettres;5414;NC
20717;74405;T.S;2;lettre_point_lettre;5414;NC
20718;74868;T.S;2;lettre_point_lettre;5414;NC
21349;478;OU;1;deux_lettres;5246;NC
21862;19907;CAR;7;trois_lettres;5230;NC
22071;59737;PAC;7;trois_lettres;5230;NC
22095;62629;PUS;7;trois_lettres;5230;NC
23377;34194;C.S.C;4;lettre_point_lettre_point_lettre;4321;NC
23626;42032;DAF;7;trois_lettres;4312;NC
23826;9514;AMD;7;trois_lettres;4226;NC
23961;48715;INF;7;trois_lettres;4226;NC
24701;64090;REP;7;trois_lettres;4132;NC
24736;226;A.A.P;4;lettre_point_lettre_point_lettre;4110;NC
25278;36419;D.E;2;lettre_point_lettre;4110;NC
25291;63709;PR;1;deux_lettres;4110;NC
25296;73539;SU;1;deux_lettres;4110;NC
25941;1233;ADR;7;trois_lettres;3412;NC
26124;30807;CAP;7;trois_lettres;3412;NC
26188;16007;ATD;7;trois_lettres;3411;NC
26494;50785;GPS;7;trois_lettres;3359;NC
27052;21396;CH;1;deux_lettres;3343;NC
27059;29847;CON;7;trois_lettres;3343;NC
27078;35438;D.R.H;4;lettre_point_lettre_point_lettre;3343;NC
27094;36129;DEX;7;trois_lettres;3343;NC
27095;36201;DGA;7;trois_lettres;3343;NC
27116;38322;DOP;7;trois_lettres;3343;NC
27117;38412;DRH;7;trois_lettres;3343;NC
27149;59977;PCA;7;trois_lettres;3343;NC
27917;59550;OSR;7;trois_lettres;3341;NC
